aisle,count,department,id,name
fresh fruits,73956.0,produce,24852,Banana
fresh fruits,63537.0,produce,13176,Bag of Organic Bananas
fresh fruits,58838.0,produce,21137,Organic Strawberries
packaged vegetables fruits,55037.0,produce,21903,Organic Baby Spinach
fresh fruits,46402.0,produce,47626,Large Lemon
fresh fruits,44859.0,produce,26209,Limes
fresh fruits,43453.0,produce,47209,Organic Hass Avocado
fresh fruits,43149.0,produce,16797,Strawberries
fresh fruits,42771.0,produce,47766,Organic Avocado
packaged vegetables fruits,37138.0,produce,39275,Organic Blueberries
fresh vegetables,35115.0,produce,24964,Organic Garlic
fresh vegetables,34354.0,produce,22935,Organic Yellow Onion
fresh vegetables,32658.0,produce,45007,Organic Zucchini
packaged vegetables fruits,31648.0,produce,27966,Organic Raspberries
fresh vegetables,30002.0,produce,49683,Cucumber Kirby
fresh vegetables,29898.0,produce,4605,Yellow Onions
packaged vegetables fruits,29025.0,produce,40706,Organic Grape Tomatoes
packaged vegetables fruits,27512.0,produce,4920,Seedless Red Grapes
fresh fruits,27210.0,produce,5876,Organic Lemon
packaged vegetables fruits,26424.0,produce,42265,Organic Baby Carrots
fresh herbs,26421.0,produce,31717,Organic Cilantro
oils vinegars,26301.0,pantry,31506,Extra Virgin Olive Oil
fresh vegetables,26164.0,produce,17794,Carrots
fresh fruits,25821.0,produce,28204,Organic Fuji Apple
fresh vegetables,25698.0,produce,46979,Asparagus
